CVE_SUBCUE,SUBCUENCA,TIPO,AREA,PERIMETRO,CVE_CUE,iie_2018_mean,iie_2018_variance,iie_2018_count,EDOS_CUE
RH23Ae,"Puerto Madero",EXORREICA,375.66 km²,91.27 km,RH23A,0.36246011635708,0.0256840730424606,5829,"CS"
RH23Ac,"R. Cozoloapan",EXORREICA,266.59 km²,88.51 km,RH23A,0.392747849809179,0.0182910028948858,4226,"CS"
RH23Ad,"R. Cahuacán",EXORREICA,287.41 km²,140.64 km,RH23A,0.443519918710363,0.0639998720777783,4589,"CS"
RH23Ab,"R. Suchiate",EXORREICA,222.27 km²,170.56 km,RH23A,0.520176630269659,0.0641588058595958,3352,"CS"
RH23Ag,"R. Huehuetán",EXORREICA,752.42 km²,163.97 km,RH23A,0.483285178748536,0.0495041800966934,11992,"CS"
RH23Af,"R. Coatán",EXORREICA,385.42 km²,171.47 km,RH23A,0.480177112780068,0.049965250591429,6124,"CS"
RH23Ba,"R. Huixtla",EXORREICA,828.97 km²,171.86 km,RH23B,0.528675387620609,0.0730333789168126,13209,"CS"
RH23Bb,"R. Despoblado",EXORREICA,605.11 km²,168.49 km,RH23B,0.569508512669864,0.0831091571838476,9673,"CS"
RH23Bc,"L. del Viejo y Tembladeras",EXORREICA,892.56 km²,185.11 km,RH23B,0.561207229159955,0.0940713211296534,14088,"CS"
RH23Bd,"R. Cacaluta",EXORREICA,639.75 km²,129.55 km,RH23B,0.539597203452108,0.0986218107503675,9894,"CS"
RH23Be,"R. Sesecapa",EXORREICA,566.39 km²,130.80 km,RH23B,0.502447690832253,0.0773005249602115,9023,"CS"
RH23Bf,"R. Novillero",EXORREICA,411.90 km²,144.28 km,RH23B,0.625288979463436,0.0586361361546823,6587,"CS"
RH30Fl,"R. Zacualpa",EXORREICA,895.78 km²,153.40 km,RH30F,0.607830337038608,0.0498141695765357,14307,"CS"
RH23Ca,"R. Margaritas y Coapa",EXORREICA,930.38 km²,141.17 km,RH23C,0.518993987569167,0.0530046911079798,14556,"CS"
RH30Fm,"R. Tapizaca",EXORREICA,723.17 km²,196.70 km,RH30F,0.544017030884069,0.0540996449973634,11532,"CS"
RH30Fk,"R. Yahuayita",EXORREICA,1001.60 km²,195.45 km,RH30F,0.7126337725409,0.0413288687502016,16008,"CS"
RH23Cc,"R. San Diego",EXORREICA,139.28 km²,87.81 km,RH23C,0.882541515313113,0.0146383467407132,28475,"CS"
RH23Cb,"R. Pijijiapan",EXORREICA,302.27 km²,111.69 km,RH23C,0.636069881428759,0.0479290203588392,4818,"CS"
RH30Fj,"R. San Miguel",EXORREICA,254.21 km²,90.38 km,RH30F,0.818001761209841,0.0271478244812152,66781,"CS"
RH23Cd,"(El Porvenir)",EXORREICA,463.63 km²,131.57 km,RH23C,0.593317094175805,0.0455893623065114,7316,"CS"
RH21Be,"Sin Nombre",EXORREICA,319.92 km²,102.65 km,RH21B,0.518107462456102,0.0722701400644812,5072,"OC"
RH21Bb,"(San Pedro Pochutla)",EXORREICA,874.77 km²,219.78 km,RH21B,0.801989099711568,0.0399076098231042,13834,"OC"
RH30Fb,"R. Salegua",EXORREICA,533.99 km²,130.79 km,RH30F,0.38003100858927,0.0402667183523094,8515,"CS"
RH23Ce,"R. Jesús",EXORREICA,355.53 km²,92.30 km,RH23C,0.575457901551374,0.0457795525102166,5632,"CS"
RH21Bc,"R. Tonameca",EXORREICA,615.33 km²,132.73 km,RH21B,0.728493361356021,0.0422006874181016,9825,"OC"
RH30Fi,"R. Aguazurco",EXORREICA,595.97 km²,123.89 km,RH30F,0.633585177369057,0.0383621927716444,9471,"CS"
RH30Fh,"R. Grande o Salinas",EXORREICA,719.97 km²,148.10 km,RH30F,0.725172265755992,0.0491186459594695,11495,"CS"
RH21Bd,"R. Cozoaltepec",EXORREICA,421.46 km²,121.32 km,RH21B,0.596570365948867,0.0656959118802444,6713,"OC"
RH21Af,"R. Chacalopa",EXORREICA,152.88 km²,81.24 km,RH21A,0.886113622701616,0.0168544286792403,2424,"OC"
RH23Cf,"L. de la Joya",EXORREICA,734.83 km²,130.58 km,RH23C,0.550763024236018,0.0484416482779649,10857,"CS"
