"CVE_CUE","EDOS"
"RH12I","AS,GT,JC,SP,ZS"
"RH12J","AS,JC,ZS"
"RH02B","BC,BS"
"RH05B","BC,BS"
"RH02C","BC"
"RH05C","BC"
"RH01A","BC"
"RH04A","BC"
"RH07A","BC,SR"
"RH01B","BC"
"RH04B","BC"
"RH07B","BC,SR"
"RH01C","BC"
"RH06A","BS"
"RH03A","BS"
"RH06B","BS"
"RH03B","BS"
"RH03C","BS"
"RH06C","BS"
"RH02A","BS"
"RH05A","BS"
"RH30A","CC,CS,TC"
"RH30C","CC,TC"
"RH31A","CC"
"RH31B","CC,YN"
"RH32B","CC,QR,YN"
"RH33A","CC,QR"
"RH33B","CC,QR,YN"
"RH36D","CL,DG,ZS"
"RH37B","CL,NL,SP,ZS"
"RH37A","CL,NL,SP"
"RH37C","CL,NL,SP,ZS"
"RH36E","CL,DG,ZS"
"RH36A","CL,DG"
"RH24B","CL,NL,TS"
"RH35F","CL,CH,DG"
"RH35A","CL"
"RH35B","CL,CH,DG"
"RH24D","CL,NL,TS"
"RH24E","CL,NL,TS"
"RH35E","CL,CH"
"RH35C","CL,CH"
"RH24H","CL,CH"
"RH24F","CL"
"RH24G","CL"
"RH37D","CL,DG,ZS"
"RH16A","CM,JC,MN"
"RH16B","CM,JC"
"RH15A","CM,JC"
"RH23A","CS"
"RH23B","CS"
"RH23C","CS"
"RH23D","CS,OC"
"RH29A","CS,TC,VZ"
"RH29B","CS,OC,VZ"
"RH30B","CS"
"RH30D","CS,TC,VZ"
"RH30E","CS,OC,VZ"
"RH30F","CS"
"RH30G","CS"
"RH10C","CH,DG,SL"
"RH10E","CH,DG,SL"
"RH10G","CH,DG,SL,SR"
"RH09A","CH,SR"
"RH09B","CH,SR"
"RH24I","CH"
"RH24J","CH"
"RH24L","CH,DG"
"RH24N","CH"
"RH34A","CH"
"RH34B","CH"
"RH34C","CH"
"RH34D","CH,SR"
"RH34E","CH"
"RH24M","CH,DG"
"RH24K","CH"
"RH35D","CH"
"RH12A","DF,GT,MC,MN,QT"
"RH18F","DF,GR,MC,MS,PL"
"RH26D","DF,GT,HG,MC,MN,MS,PL,QT,SP,TL,VZ"
"RH10A","DG,SL"
"RH10B","DG,SL"
"RH12L","DG,JC,NT,ZS"
"RH11A","DG,NT,ZS"
"RH11B","DG,NT,SL"
"RH11C","DG,NT,SL"
"RH11D","DG,SL"
"RH36C","DG"
"RH36B","DG"
"RH12G","GT,MN"
"RH12C","GT,JC,MN"
"RH12B","GT,JC,MN"
"RH12H","GT,QT,SP"
"RH26C","GT,QT,SP,TS"
"RH19B","GR"
"RH19C","GR"
"RH18C","GR,MC,MN"
"RH18D","GR,MN"
"RH18G","GR,MC,MN"
"RH19A","GR"
"RH18B","GR,MC,MS,PL"
"RH20E","GR"
"RH20D","GR"
"RH18A","GR,MC,MS,OC,PL,TL,VZ"
"RH18E","GR,OC,PL"
"RH20C","GR,OC"
"RH20B","GR,OC"
"RH20A","GR,OC"
"RH27B","HG,PL,TL,VZ"
"RH27C","HG,PL,VZ"
"RH27D","HG,PL,VZ"
"RH17B","JC,MN"
"RH18J","JC,MN"
"RH15B","JC"
"RH12D","JC,MN"
"RH15C","JC"
"RH14B","JC,NT"
"RH14C","JC,NT"
"RH14A","JC"
"RH12E","JC,NT,ZS"
"RH13A","JC"
"RH12F","JC,NT"
"RH12K","JC,NT,ZS"
"RH37F","JC,SP,ZS"
"RH17A","MN"
"RH18H","MN"
"RH18I","MN"
"RH13B","NT"
"RH26B","NL,SP,TS,VZ"
"RH25B","NL,TS"
"RH25C","NL,TS"
"RH25D","NL,TS"
"RH24A","NL,TS"
"RH24C","NL,TS"
"RH37G","NL,SP,ZS"
"RH37H","NL,SP,TS"
"RH21C","OC"
"RH21B","OC"
"RH22B","OC"
"RH21A","OC"
"RH22A","OC"
"RH28A","OC,PL,VZ"
"RH27A","PL,VZ"
"RH28B","PL,VZ"
"RH32A","QR,YN"
"RH26A","SP,TS,VZ"
"RH37E","SP,ZS"
"RH10D","SL"
"RH10F","SL"
"RH10H","SL,SR"
"RH09C","SR"
"RH09D","SR"
"RH09E","SR"
"RH08A","SR"
"RH08B","SR"
"RH08C","SR"
"RH25A","TS"
"RH27E","VZ"
