CVEGEO,CVE_ENT,NOMGEO,CVE_CAP,NOM_CAP,COV_,COV_ID,AREA,PERIMETER,iie-2018_count,iie-2018_mean,area_km2
01,01,Aguascalientes,10001,Aguascalientes,0,1,5558.67384289,423.005982854,89025,41.2747783182502,5615.67116188743
02,02,Baja California,20001,Mexicali,1,2,73406.1586087,3104.09691099,1156283,87.8727914001312,73053.8263895804
03,03,Baja California Sur,30001,La Paz,2,3,71407.1369321,5094.09339637,1135917,92.1092438927306,72023.9373885218
04,04,Campeche,20001,San Francisco de Campeche,3,4,57269.8287444,1566.40511048,882615,69.6384150503259,57508.0073218332
05,05,Coahuila de Zaragoza,300001,Saltillo,4,5,150671.222993,2414.88529656,2414259,83.4148649243769,151594.61971222
06,06,Colima,20001,Colima,5,6,5754.1226981,643.626162031,90474,50.3205090916541,5783.36864928825
07,07,Chiapas,1010001,Tuxtla Gutiérrez,6,7,73617.359026,1779.55058947,1151617,55.9106947843313,73316.3505975066
08,08,Chihuahua,190001,Chihuahua,7,8,246973.359987,3120.4656374,3936530,75.2909445395227,247412.540360252
09,09,Ciudad de México,0,NA,8,9,1486.18321683,206.876266448,23826,25.6955729637367,1494.31251450837
10,10,Durango,50001,Victoria de Durango,9,10,122131.204862,2500.70350497,1964533,74.5883029674371,123364.119169954
11,11,Guanajuato,150001,Guanajuato,10,11,30339.774998,1370.04549686,484263,40.5280273210989,30606.6728914708
12,12,Guerrero,290001,Chilpancingo de los Bravo,11,12,63571.9420899,1873.56951771,1006523,62.113231616799,63603.7355544494
13,13,Hidalgo,480001,Pachuca de Soto,12,13,20654.5457375,1565.90224825,331153,44.6729542679103,20821.4442349241
14,14,Jalisco,390001,Guadalajara,13,14,77969.7729673,3713.21843337,1230236,55.3632744811521,78601.3410909791
15,15,México,1060001,Toluca de Lerdo,14,15,22226.8534205,1446.71121401,354266,41.2937616427766,22351.7513489196
16,16,Michoacán de Ocampo,530001,Morelia,15,16,58301.4546652,2089.91139632,922725,54.1751214239915,58603.8661176297
17,17,Morelos,70001,Cuernavaca,16,17,4859.41383436,456.475505282,77756,40.6345673992315,4878.8989934875
18,18,Nayarit,170001,Tepic,17,18,27825.0134685,1546.41672222,440197,67.3856929646988,28102.3773505886
19,19,Nuevo León,390001,Monterrey,18,20,63558.8538697,1912.86412022,1022454,69.3642504738573,64156.246837189
20,20,Oaxaca,670001,Oaxaca de Juárez,19,19,93967.6608741,2210.41424711,1471035,62.3133627053686,93765.6340869847
21,21,Puebla,1140001,Heróica Puebla de Zaragoza,20,21,34152.671159,2239.25551227,547369,44.3573754746228,34309.6460530419
22,22,Querétaro,140001,Santiago de Querétaro,21,22,11589.2675405,874.11563111,186195,54.3410847177641,11690.5827914555
23,23,Quintana Roo,40001,Chetumal,22,23,44572.3701014,2567.75230042,683694,83.1000974904938,44841.2660127871
24,24,San Luis Potosí,280001,San Luis Potosí,23,24,60499.9579256,2154.14594959,974076,67.6246904303095,61137.9624057586
25,25,Sinaloa,60001,Culiacán Rosales,24,25,56815.630829,1933.01685465,867310,64.9426232946057,57382.5211166345
26,26,Sonora,300001,Hermosillo,25,26,180633.837471,3630.80472451,2863516,80.4581663596155,180399.735247613
27,27,Tabasco,40001,Villahermosa,26,27,24701.2440286,1576.13788824,376497,52.2559524984858,24738.0649430766
28,28,Tamaulipas,410001,Ciudad Victoria,27,28,79447.1715794,2472.84977845,1223959,59.0946805015958,80270.6350994324
29,29,Tlaxcala,330001,Tlaxcala de Xicohténcatl,28,29,3973.38739244,418.723227018,63629,32.0489365067007,3996.63417128655
30,30,Veracruz de Ignacio de la Llave,870001,Xalapa-Enríquez,29,30,71467.4224178,3538.97214384,1116260,40.2036052039738,71829.818595138
31,31,Yucatán,500001,Mérida,30,31,39423.6479818,1314.10338622,627824,60.6830552554319,39760.972166442
32,32,Zacatecas,560001,Zacatecas,31,32,74479.7073243,3166.16428887,1200315,62.9880811233018,75275.3884979177
